Industry,IND,HI_IND,RET,HI_RET,OFF,SERV,GOV,EDU,HOSP
SCTG01,405.811915,0,0,0,0,0,0,0,0
SCTG02,99.1170195,0,0,0,0,0,0,0,0
SCTG03,1997.184024,0,0,0,0,0,0,0,0
SCTG04,79.727978,114.4688159,0,0,0,0,0,0,0
SCTG05,110.1267,786.7563594,0,0,0,0,0,0,0
SCTG06,0,1289.468882,0,0,0,0,0,0,0
SCTG07,102.9303375,6551.506003,0,0,0,0,0,0,0
SCTG08,0,1150.508533,0,0,0,0,0,0,0
SCTG09,0.5,0,0,0,0,0,0,0,0
SCTG10,105.6340828,4.2548672,0,0,0,0,0,0,0
SCTG11,12.53963897,0.643627818,0,0,0,0,0,0,0
SCTG12,71.05795415,3.647224305,0,0,0,0,0,0,0
SCTG13,47.81665891,3.740240777,0,0,0,0,0,0,0
SCTG14,21.1637772,0,0,0,0,0,0,0,0
SCTG15,0.5,0,0,0,0,0,0,0,0
SCTG16,69.052025,0,0,0,0,0,0,0,0
SCTG17,6.43271805,46.14805529,0,0,0,0,0,0,0
SCTG18,6.43271805,46.14805529,0,0,0,0,0,0,0
SCTG19,78.3194107,222.9809557,0,0,0,0,0,0,0
SCTG20,3.800968,1133.067299,0,0,0,0,0,0,0
SCTG21,0,393.1039588,0,0,0,0,0,0,0
SCTG22,0,267.6961532,0,0,0,0,0,0,0
SCTG23,0,1082.518305,0,0,0,0,0,0,0
SCTG24,0,1839.761595,0,0,0,0,0,0,0
SCTG25,2562.714884,0,0,0,0,0,0,0,0
SCTG26,0,7578.979526,0,0,0,0,0,0,0
SCTG27,0,392.504226,0,0,0,0,0,0,0
SCTG28,0,3254.57654,0,0,0,0,0,0,0
SCTG29,0,621.0630681,0,0,561.997805,0,0,0,0
SCTG30,0,747.4526947,0,0,0,0,0,0,0
SCTG31,4.631405,1439.455262,0,0,0,0,0,0,0
SCTG32,0,3039.151043,0,0,0,0,0,0,0
SCTG33,0,4198.736575,0,0,0,0,0,0,0
SCTG34,0.033520795,3546.295354,0,0,0,0,0,0,0
SCTG35,0,12377.87013,0,0,0,0,0,0,0
SCTG36,0,6003.091917,0,0,0,0,0,0,0
SCTG37,0,1785.717939,0,0,0,0,0,0,0
SCTG38,0,3133.744657,0,0,0,0,0,0,0
SCTG39,0,711.9007757,0,0,0,0,0,0,0
SCTG40,0,1088.496583,0,0,0,0,0,0,0
SCTG41,0,29.10704344,0,0,8.608894,1.052104,0,0,0
SCTG42,0.075099084,0.842380127,0,0,0.007408045,0.0000137,0,0,0
SCTG43,0.075099084,0.842380127,0,0,0.007408045,0.0000137,0,0,0
SCTG99,0.075099084,0.842380127,0,0,0.007408045,0.0000137,0,0,0
