Industry,IND,HI_IND,RET,HI_RET,OFF,SERV,GOV,EDU,HOSP
SCTG01,91.84004303,11.18760767,53.06385512,53.06385512,86.41963628,1.476580434,0.004981482,1.006027525,1.006027525
SCTG02,9.141959114,8.045263571,13.61045137,13.61045137,28.53413109,0.424179604,0.003229824,0.582738329,0.582738329
SCTG03,235.8452336,105.7913892,254.5244749,254.5244749,283.7905478,10.65472603,0.082554562,8.191633573,8.191633573
SCTG04,8.051673917,17.85536289,24.75438225,24.75438225,38.12000436,1.55001613,0.075094165,0.353068441,0.353068441
SCTG05,103.7203406,60.30739535,86.09416452,86.09416452,69.90299859,8.27052864,0.371920905,9.624400964,9.624400964
SCTG06,16.96312936,57.21978369,206.1785409,206.1785409,174.1448889,12.62038952,0.975162691,0.00303302,0.00303302
SCTG07,443.5008641,727.3464441,813.9444464,813.9444464,544.6452198,44.90416228,2.899973572,0.239967587,0.239967587
SCTG08,23.76467214,104.2577217,160.9172839,160.9172839,110.0247574,4.384345882,0.737352667,0.01751212,0.01751212
SCTG09,0,1,0,0,0,0,0,0,0
SCTG10,0.594389835,1.807021692,19.67977131,19.67977131,20.28315467,0.378224762,0.000888059,0,0
SCTG11,0.059923188,0.367466202,2.275010631,2.275010631,2.828130922,0.046338253,0.000458072,0,0
SCTG12,0.33956473,2.082308476,12.89172691,12.89172691,16.02607522,0.262583435,0.002595741,0,0
SCTG13,0.22459443,1.518777767,10.44748898,10.44748898,11.27937361,0.194667896,0.00256308,0,0
SCTG14,0.315881672,0.770221184,2.78272325,2.78272325,1.851835589,0.021284813,0.01438199,0,0
SCTG15,0,1,0,0,0,0,0,0,0
SCTG16,14.70929225,5.266241172,9.619013584,9.619013584,39.80016864,0.264979969,0.023368455,0.00142723,0.00142723
SCTG17,4.50411266,0.213679472,1.174224919,1.174224919,0.602441209,0.139252081,0.004866645,0.000922485,0.000922485
SCTG18,4.50411266,0.213679472,1.174224919,1.174224919,0.602441209,0.139252081,0.004866645,0.000922485,0.000922485
SCTG19,19.7055891,10.69072001,19.56753457,19.56753457,46.85019279,1.060810609,0.04425976,0.002377669,0.002377669
SCTG20,9.424977926,124.7471455,139.4273726,139.4273726,90.88895552,9.972895566,0.884728654,0.00310752,0.00310752
SCTG21,0.931082333,54.91770379,42.27093027,42.27093027,83.74622061,2.168196793,0.432653344,0.002770116,0.002770116
SCTG22,1.96233519,23.73591496,68.57443591,68.57443591,19.10283824,3.26139152,0.049971934,0,0
SCTG23,2.085833508,130.0890267,86.73841534,86.73841534,134.8069971,5.280654299,1.221159472,0.004116941,0.004116941
SCTG24,5.313328895,170.388202,142.1348742,142.1348742,155.2984229,21.1961289,1.099712021,0.011544113,0.011544113
SCTG25,439.6214416,14.60037977,168.8376164,168.8376164,72.17728634,44.82488137,0.149819188,0.772937,0.772937
SCTG26,685.1198076,1013.974521,728.0727852,728.0727852,446.24864,87.21050621,2.766035588,0.020540689,0.020540689
SCTG27,13.15315028,24.77973038,29.87180608,29.87180608,15.07756895,3.104393465,0.64461231,0,0
SCTG28,130.7178877,262.769048,546.6346774,546.6346774,221.285342,45.11714965,17.24378439,0.022344175,0.022344175
SCTG29,3.584761207,63.61484363,148.9332484,148.9332484,339.7669959,32.95841077,0.421577185,0.42140228,0.42140228
SCTG30,1.596283913,44.31969085,82.12523181,82.12523181,100.5695979,6.978067957,0.465857575,0.00133248,0.00133248
SCTG31,9.375674535,79.06099414,234.3830998,234.3830998,123.4397859,22.14525517,1.068607321,0.00456069,0.00456069
SCTG32,25.8231902,107.5466039,463.1978295,463.1978295,170.1303396,30.7055558,32.05739315,0.009005382,0.009005382
SCTG33,13.9840429,189.0548356,340.0331541,340.0331541,373.5927288,49.39802706,12.4567986,0.01964551,0.01964551
SCTG34,6.00139638,206.8971313,278.4535222,278.4535222,316.0006704,28.6301064,1.080096253,0.019456367,0.019456367
SCTG35,26.94464976,1573.704055,1204.983848,1204.983848,1520.377876,76.50300217,4.103308432,0.12840828,0.12840828
SCTG36,9.135704635,487.8814349,633.4385818,633.4385818,276.2466555,21.13311785,1.636910259,0.003293576,0.003293576
SCTG37,1.96865957,149.1547302,123.4905976,123.4905976,155.3852288,9.123329083,0.303101016,0.012074066,0.012074066
SCTG38,4.901821389,353.6187883,223.2150285,223.2150285,404.1208567,32.79908945,0.724476304,0.035902988,0.035902988
SCTG39,1.782817012,103.9881331,73.69253711,73.69253711,80.13779484,9.278592172,0.339940605,0.005553172,0.005553172
SCTG40,1.718675676,64.72335192,85.16056214,85.16056214,119.0618619,9.82045157,0.293109496,0.006692373,0.006692373
SCTG41,0,0,1,1,0,0,0,0,0
SCTG42,0.090991807,0.243821506,0.28898747,0.28898747,0.256654333,0.024479962,0.003247582,0.000825534,0.000825534
SCTG43,0.090991807,0.243821506,0.28898747,0.28898747,0.256654333,0.024479962,0.003247582,0.000825534,0.000825534
SCTG99,0.090991807,0.243821506,0.28898747,0.28898747,0.256654333,0.024479962,0.003247582,0.000825534,0.000825534
